,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
157,DinoV2,ProjectedGAN,PNDM,no,0.9599999785423279,0.9372424483299255,0.9851657748222351,0.9939484000205994,0.9865545034408569,0.9826403856277466,0.8122591972351074,0.9602245092391968,0.014834225177764893,0.06275755167007446
158,DinoV2,ProjectedGAN,Diff-ProjectedGAN,no,0.9919999837875366,0.9963010549545288,0.9887641072273254,0.9994334578514099,0.9982702732086182,0.9963010549545288,0.8764221668243408,0.9925029277801514,0.01123589277267456,0.0036989450454711914
159,DinoV2,ProjectedGAN,DDPM,no,0.9369999766349792,0.8855379819869995,0.9938032031059265,0.993757963180542,0.9813279509544373,0.958467960357666,0.7646738886833191,0.9359294176101685,0.006196796894073486,0.11446201801300049
160,DinoV2,ProjectedGAN,ADM,no,0.6420000195503235,0.34258708357810974,0.9071299433708191,0.873243510723114,0.5969036817550659,0.4183497130870819,0.20115706324577332,0.49571946263313293,0.09287005662918091,0.6574129164218903
161,DinoV2,ProjectedGAN,ProjectedGAN,no,0.9940000176429749,0.9960859417915344,0.9920300245285034,0.9999687671661377,1.0,1.0,0.8939682841300964,0.9939945340156555,0.007969975471496582,0.003914058208465576
162,DinoV2,ProjectedGAN,StyleGAN,no,0.7879999876022339,0.6066906452178955,0.9745566844940186,0.9624766707420349,0.867734432220459,0.7822628021240234,0.4546920955181122,0.7468176484107971,0.025443315505981445,0.3933093547821045
163,DinoV2,ProjectedGAN,Diff-StyleGAN2,no,0.9359999895095825,0.8791219592094421,0.9956972002983093,0.9936090111732483,0.9835940003395081,0.9503045678138733,0.7977946996688843,0.933112382888794,0.004302799701690674,0.12087804079055786
164,DinoV2,ProjectedGAN,coco,no,0.5640000104904175,0.26050588488578796,0.6009337306022644,0.6016243696212769,0.15801112353801727,0.0942266657948494,0.03490833193063736,0.3615422546863556,0.3990662693977356,0.739494115114212
165,DinoV2,Diff-StyleGAN2,LDM,no,0.8960000276565552,0.8129022717475891,0.9787036180496216,0.9780445694923401,0.9353046417236328,0.890038251876831,0.620968759059906,0.8865821361541748,0.021296381950378418,0.1870977282524109
166,DinoV2,Diff-StyleGAN2,IDDPM,no,0.8989999890327454,0.8187995553016663,0.9815453290939331,0.9793775081634521,0.9434369802474976,0.8689585328102112,0.556450605392456,0.8924304842948914,0.018454670906066895,0.18120044469833374
167,DinoV2,Diff-StyleGAN2,ProGAN,no,0.9900000095367432,1.0,0.9809322953224182,1.0,1.0,1.0,0.8960000276565552,0.9903469085693359,0.019067704677581787,0.0
168,DinoV2,Diff-StyleGAN2,PNDM,no,0.9580000042915344,0.9436637163162231,0.9745568633079529,0.9940592050552368,0.9809280633926392,0.9593446254730225,0.8036075234413147,0.9585436582565308,0.02544313669204712,0.056336283683776855
169,DinoV2,Diff-StyleGAN2,Diff-ProjectedGAN,no,0.9890000224113464,0.9957226514816284,0.9825721979141235,0.998842716217041,1.0,0.9919355511665344,0.8443360328674316,0.9890390634536743,0.017427802085876465,0.004277348518371582
170,DinoV2,Diff-StyleGAN2,DDPM,no,0.9480000138282776,0.9141302108764648,0.983479380607605,0.9930981397628784,0.9734428524971008,0.9435011148452759,0.7573317289352417,0.9471903443336487,0.01652061939239502,0.08586978912353516
171,DinoV2,Diff-StyleGAN2,ADM,no,0.6439999938011169,0.3412416875362396,0.9084415435791016,0.8594697117805481,0.579971969127655,0.3698137402534485,0.14093248546123505,0.4949895441532135,0.09155845642089844,0.6587583124637604
172,DinoV2,Diff-StyleGAN2,ProjectedGAN,no,0.9800000190734863,0.9922342896461487,0.969637930393219,0.9991496801376343,0.9980307817459106,0.9924593567848206,0.8799816370010376,0.9806932210922241,0.030362069606781006,0.007765710353851318
173,DinoV2,Diff-StyleGAN2,StyleGAN,no,0.9520000219345093,0.9300352334976196,0.9753859043121338,0.9933466911315918,0.9837822318077087,0.9590113162994385,0.7632507085800171,0.9520766735076904,0.02461409568786621,0.06996476650238037
